,Basin_1,Basin_2,Basin_3,Basin_4,Basin_5
2000-01-31,1.8358219599688614,1.2504722624183178,1.9095987376781078,1.4749305595426758,1.763835167100098
2000-02-29,1.8874834206307454,1.599497232798979,1.6218850131233908,2.092879662494326,1.8021847658071977
2000-03-31,4.129286216200248,1.9434895728777597,2.71212689194333,1.8937702165844639,2.3784873742248878
2000-04-30,1.8903591439966525,1.3409745861372084,2.10175478500606,3.619822328529433,2.147374547646831
2000-05-31,1.393596172136938,2.2212797440385508,1.697590481202939,2.5282619575703342,1.6238735413932952
2000-06-30,1.9429927024378415,2.0237364870778833,2.393982301084206,1.1441609771809218,2.1333400281586035
2000-07-31,2.988223410334855,1.7964537314000004,5.248106944519565,1.5524313847375786,1.1498470667696978
2000-08-31,1.248316601004294,1.9020505474468254,1.7145621728204845,1.9704568402832043,1.3609423925724011
2000-09-30,2.0844289945269874,1.667857566398488,1.9032097242303545,1.605982253485586,1.6391468040851243
2000-10-31,1.971794885621483,1.6590909869998895,1.9657623364209487,1.5998994494867453,1.582863074434371
2000-11-30,1.9787009687168897,3.908127781727994,1.7802526509118062,2.3041798992263405,2.3117375686076973
2000-12-31,2.0803352590516164,1.4300592357212167,3.6438870779940817,2.4489387029806173,2.3068413740723623
2001-01-31,2.051651175760531,1.8787356923383192,1.9255751583136709,1.4749642194100583,1.4451018402513873
2001-02-28,1.4775890557237676,2.6607886887368646,1.8975898383329337,1.8949394928523682,1.9915853393663119
2001-03-31,2.049508655043314,1.6678694769115798,1.8986412108914954,1.6045379507598012,1.8758176605237056
2001-04-30,1.489806721873979,2.3749080054650746,3.694670625253156,1.387140410903365,1.6807882143093615
2001-05-31,1.5886267311235354,1.7511776863022164,1.8983087421941633,2.0705536770434017,2.5170255533219925
2001-06-30,1.7419377502337083,2.3124525982366104,1.130705446897288,2.235926429514211,1.8757276374450393
2001-07-31,1.6615709810567432,1.350861006817837,1.574352900650192,1.484933603906145,1.6280607650480796
2001-08-31,2.7467296985725818,1.5695627556590548,1.873505469620772,3.3940144788544497,7.884276657074201
2001-09-30,1.9637485635603424,1.6733026649019853,1.311279673611041,1.4546059733474863,1.450905541673596
2001-10-31,1.6865036533725586,1.740660818393233,1.3954874043914751,1.7551660461715177,1.3908314097092838
2001-11-30,1.5008513979383298,1.9522868088739591,1.73726840635505,1.359072859487954,1.330548243785828
2001-12-31,2.3498770578870776,2.897624508003626,1.6660757029538482,2.7152387785756407,2.068917091669253
2002-01-31,1.2438019178660376,1.9500710125231795,1.975081486475494,1.8614567854070219,1.727736959008409
2002-02-28,1.5966695868156586,3.077533518449212,1.8133616132030896,1.247186353463685,1.8738736543674497
2002-03-31,1.745479012677811,1.4130430575470088,1.5624401870836826,1.6635342983753605,2.036572155452995
2002-04-30,1.8978870233104792,1.8100250827691982,1.8099452077796676,2.229688200827969,1.8243827470840637
2002-05-31,1.844212684263195,1.5476799061319289,2.5037875876640086,2.621882151783301,1.9869547820388307
2002-06-30,1.2216527998018671,1.442592197005109,1.8158308611851326,1.8467566077594004,1.5724108855640895
2002-07-31,2.0029036641254736,1.7940143547870024,1.5892074214228828,1.4557533870855335,1.9088042013604536
2002-08-31,2.101822439166522,1.7650780164404094,2.3249720101272824,1.4982858744356344,1.7242969575297802
2002-09-30,1.6264933628769471,2.4745440950522144,3.237059861120412,2.828648217942685,4.727351204725183
2002-10-31,1.5490183731600338,2.1930329017094574,3.984315152439626,1.610690232378886,1.9981582141639325
2002-11-30,2.2107349366223663,1.8972829299884717,1.9388169233037196,1.514400376440353,1.6842850290446232
2002-12-31,1.2999024787169557,1.5394298388021876,5.526542042952928,4.203710255799878,1.7005924565271906
2003-01-31,1.599914288187824,2.0170183259989667,1.997731640568972,1.5062866779845618,1.4616058887743184
2003-02-28,1.939325657707147,1.6693153509162493,1.9069863054284,2.532583532685288,1.7126178368669969
2003-03-31,1.6731578556115356,1.911169853992067,1.9214437242520266,2.0269670563263658,1.3806863828586835
2003-04-30,2.2133162026581727,1.9249471516477032,2.080554693164626,1.5026846271093617,2.5867245666957177
2003-05-31,1.4409599876658394,2.0404624415266417,1.7789927027232304,1.7871849673958697,2.280521006679191
2003-06-30,1.7784015307672005,6.049608306379159,1.822741579243378,1.77333185932967,1.482898169115641
2003-07-31,1.3040829626978414,1.7449772672240262,2.04541306500509,1.5953613686720869,1.895793558219865
2003-08-31,1.9450817395652773,1.9921029294725305,1.7878751716406254,2.2997896615033366,1.5083828729571471
2003-09-30,2.090832612274475,1.8943538873298267,2.168046058440861,1.3764614912028856,6.725114822621154
2003-10-31,1.6274036216705974,1.302775826573791,1.861362729304143,1.749647813413289,1.915925566067318
2003-11-30,2.440990793974597,1.9069809849842556,3.7876480772399823,1.8723927514986582,2.8306447884898343
2003-12-31,1.8035041638258411,2.0164690979914868,2.5397220626205153,1.9927444947402764,1.422100682941908
2004-01-31,2.130855111906792,2.0001893957829404,2.5051522679983593,2.1608828003838143,2.0261532611436213
2004-02-29,1.8867588733005358,1.4483673429123425,1.8835451575078381,2.063443690562485,1.8907000310234459
2004-03-31,2.539767981910759,1.4902266507142499,2.4308790673882483,1.8658298532558995,1.578004522724722
2004-04-30,1.7318382596448683,1.1982626477904876,1.762566987228029,1.886568886766648,1.6011540199656824
2004-05-31,1.9063467904072808,2.228762981383874,2.443696914508734,1.8181145575484239,3.774254207822297
2004-06-30,1.804661969333265,2.1815656673901644,1.26287120729124,1.9332955819737279,2.019909240695087
2004-07-31,1.9776687116454217,1.8530259519671946,2.0153597104758667,1.648932378629223,1.8417165577435133
2004-08-31,1.2797400208075995,1.360169703712937,2.6816926145540223,2.072058690309293,2.1521919005546906
2004-09-30,4.6757058925195425,1.7266869821044601,2.445169847619595,1.4635994030355444,2.798295640867933
2004-10-31,1.9692116065468304,1.900083304498544,2.2612599331227274,1.7260331073396866,3.6393240094401897
2004-11-30,2.833145028465301,1.8011888212008098,1.4252123229609939,3.930275870577416,1.7796302756935531
2004-12-31,1.3490578850130042,1.3904871120533742,1.9185595542009841,2.104631415939222,1.7266729287384504
2005-01-31,1.6173640321869922,1.4055945561242789,1.7599016002137247,3.2259816832931434,2.3372551531757955
2005-02-28,1.779603438210712,2.235776892876028,1.6145003664610915,1.7230588068928632,1.9767797308227857
2005-03-31,1.7205417174346618,1.764823317119654,1.5845300096258266,1.813769036972617,2.234827121164634
2005-04-30,1.987455912863713,2.405881066238928,3.04657888136233,1.4066798428287741,2.051460237599955
