month,06452000_Q_ke,06452000_Q_assim_base,06452000_Q_assim_Budyko,13340000_Q_ke,13340000_Q_assim_base,13340000_Q_assim_Budyko,06447000_Q_ke,06447000_Q_assim_base,06447000_Q_assim_Budyko,06360500_Q_ke,06360500_Q_assim_base,06360500_Q_assim_Budyko,06354000_Q_ke,06354000_Q_assim_base,06354000_Q_assim_Budyko,05057000_Q_ke,05057000_Q_assim_base,05057000_Q_assim_Budyko,07301500_Q_ke,07301500_Q_assim_base,07301500_Q_assim_Budyko,06191500_Q_ke,06191500_Q_assim_base,06191500_Q_assim_Budyko,02315500_Q_ke,02315500_Q_assim_base,02315500_Q_assim_Budyko,06784000_Q_ke,06784000_Q_assim_base,06784000_Q_assim_Budyko
2000-01-01,76.97381605138779,0.03185034225415109,0.027043474906813313,103.33426245274543,0.0,0.0,78.936842639637,0.0,0.0,73.53768735815883,0.0,0.0,73.28261444437653,0.5167833082535589,0.5589345554881809,73.27558083534974,0.619177176534022,0.6262956467408733,73.80260095596314,0.0,0.0,74.58773719911576,0.0,0.0,137.81895751953124,0.2710065131715944,0.290171103239286,73.75791546530725,0.0,0.0
2000-02-01,18.509976569658278,0.0,0.0,67.33739558065845,0.0,0.0,16.739650693166727,0.0,0.0,11.353276736223814,0.0,0.0,15.938090823790041,0.25033322423804205,0.2737067337851361,18.88443547766926,0.0,0.00023438968820707563,5.863916137695313,0.0,0.0,12.972751108712192,0.0,0.0,41.12048962402344,0.1675244324838467,0.1815165655429919,14.207409647877688,0.0,0.0
2000-03-01,23.151712282653467,0.0,0.0,44.94697870290892,0.0,0.0,37.480208420146674,0.0,0.0,18.734080317191953,0.0,0.0,6.111142437256747,0.09841646368290896,0.11174400171320947,9.71531877235181,0.0,0.0,88.46593523437501,0.0,0.0,3.143604651999339,0.0,0.0,64.57588396484375,0.09180424847418216,0.10208359098157421,21.020376769864104,0.0,0.0
2000-04-01,64.82719340799895,0.0,0.0,32.183888936057805,0.0,0.0,75.65661527528944,0.0,0.0,46.75695377208622,0.0,0.0,14.781386000396342,0.031016286718441633,0.03785850710670113,15.14452193501832,0.0,0.0,46.1479459171875,0.0,0.0,20.68353252559163,0.0,0.0,59.290981805859374,0.048038900217636994,0.0539533392122556,29.26469102890663,0.0,0.0
2000-05-01,62.4720069939487,0.0,0.0,75.60922608329278,0.0,0.0,50.689728856818945,0.0,0.0,52.16004289341729,0.0,0.0,43.995985445353035,0.008555900179499065,0.010870337526076326,41.32842932375121,0.0,0.0,19.97659296586719,0.0,0.0,63.01016223665379,0.0,0.0,3.9555610139628907,0.026780914083145244,0.030337998944566024,55.96979711600036,0.0,0.0
2000-06-01,35.993746144624275,0.0,0.0,32.33927615599052,0.0,0.0,17.72431064054653,0.0,0.0,36.33561732176538,0.0,0.0,57.45399688747951,0.0008519120005805588,0.0017153458211475376,88.15426024645505,0.0,0.0,170.63998658469254,0.0,0.0,50.568213635267064,0.0,0.0,125.72813355734876,0.013011196801910853,0.01535063559080429,57.58308597361065,0.0,0.0
2000-07-01,33.57456064596635,0.0,0.0,7.2435117497170225,0.0,0.0,26.13436021134225,0.0,0.0,31.454751461658677,0.0,0.0,68.55362426173073,0.0,6.185740441545552e-05,82.70713439240993,0.0,0.0,15.840552782677356,0.0,0.0,22.120301725354164,0.0,0.0,114.67979686226721,0.0052382664340913905,0.006480390684483592,88.04895970191276,0.0,0.0
2000-08-01,7.5525174881654,0.0,0.0,0.8738601511793139,0.0,0.0,7.296763991728123,0.0,0.0,4.089046024838062,0.0,0.0,7.066510443722203,0.0,0.0,94.1493504939044,0.0,0.0,0.7781731130311681,0.0,0.0,23.7433100622626,0.0,0.0,122.85797047631243,0.0014439634448193427,0.0019790940807322918,20.96339003971987,0.0,0.0
2000-09-01,10.798363966951648,0.0,0.0,72.74033723351481,0.0,0.0,15.441895621706857,0.0,0.0,3.7193735514337156,0.0,0.0,2.2830451161711363,0.0,0.0,41.99871038712169,0.0,0.0,0.731482726249298,0.0,0.0,18.292087740265124,0.0,0.0,154.64312823406183,0.4924376807489221,0.21289669128231567,23.278397550422614,0.0,0.0
2000-10-01,23.124875977811502,0.0,0.0,105.53215259520704,0.0,0.0,19.22032356531265,0.0,0.0,19.134693560222694,0.0,0.0,18.077199356832704,0.0,0.0,36.222130903542826,0.0,0.0,82.99388648728372,0.0,0.0,37.64049017970664,0.0,0.0,5.255223767557153,0.33086007688932184,0.1251816658488287,51.48616342395976,0.0,0.0
